时间戳,厌氧进水泵出口1流量_平均值,厌氧进水泵出口1流量_变化值,厌氧进水泵出口1流量_变化率,厌氧罐2温度_平均值,厌氧罐2温度_变化值,厌氧罐2温度_变化率,厌氧罐2压力_平均值,厌氧罐2压力_变化值,厌氧罐2压力_变化率,厌氧循环泵出口至厌氧罐2流量_平均值,厌氧循环泵出口至厌氧罐2流量_变化值,厌氧循环泵出口至厌氧罐2流量_变化率,厌氧进水超越流量_平均值,厌氧进水超越流量_变化值,厌氧进水超越流量_变化率,厌氧罐2液位_平均值,厌氧罐2液位_变化值,厌氧罐2液位_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,调节池PH值_实时值,调节池PH值_HRT平均值,调节池COD_实时值,调节池COD_HRT平均值,调节池氨氮_实时值,调节池氨氮_HRT平均值,厌氧出口PH值_实时值,厌氧出口PH值_HRT平均值,厌氧出口COD_实时值,厌氧出口COD_HRT平均值,厌氧出口氨氮_实时值,厌氧出口氨氮_HRT平均值,厌氧出口COD_输出_t+120min,厌氧出口氨氮_输出_t+120min
2026-03-01 02:00:00,0.015689377358490558,0.005554999999999999,0.3749578130273371,21.948585584905665,-0.006946000000002783,-0.0003166601824120745,0.815150698113208,-0.078704,-0.09340689989116928,0.0,0.0,0.0,0.0,0.0,0.0,17.38493747169812,-0.037039000000000044,-0.002128338238392848,13.662075471698113,0.09999999999999964,0.00729394602479939,97.99999999999997,0.9000000000000057,0.009278350515463977,5.9,5.9,40880.0,40880.0,1522.0,1522.0,7.81,7.81,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 04:00:00,0.01640985849056604,0.005555,1.4997300215982723,21.916733981132072,-0.002313999999998373,-0.00010552602488838014,0.8197576509433961,0.04861099999999996,0.05999987657140031,0.0,0.0,0.0,0.0,0.0,0.0,17.38679551886793,-0.0018519999999995207,-0.00010640846105841146,14.087735849056596,0.7300000000000004,0.05270758122743686,98.28018867924534,-1.1000000000000085,-0.011201629327902326,5.9,5.899999999999987,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999976,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 06:00:00,0.013055537735849058,-0.018518,-0.8333183331833318,21.888944424528304,-0.004629999999998802,-0.0002114334052358584,0.8266098207547172,-0.05324099999999998,-0.062330902505013636,0.0,0.0,0.0,0.0,0.0,0.0,17.3899965754717,-0.020369999999999777,-0.0011719993307463684,14.551509433962265,0.379999999999999,0.0267229254571026,98.42452830188675,1.0999999999999943,0.011178861788617827,5.9,5.900000000000014,40880.0,40880.0,1522.0,1522.0,7.81,7.80999999999996,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 08:00:00,0.0168378396226415,-0.018519,-0.6666786665706674,21.864239726415096,0.013889000000002483,0.0006350601002608727,0.8309593773584908,-0.011573999999999973,-0.01412421105041952,0.0,0.0,0.0,0.0,0.0,0.0,17.39246509433962,-0.02222099999999827,-0.001277068965517142,15.035943396226413,0.8499999999999996,0.05798090040927692,98.31981132075471,-0.7000000000000028,-0.007142857142857172,5.9,5.900000000000039,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999955,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 10:00:00,0.016409660377358488,0.005556,0.6000648018144509,21.89023140566037,0.006944999999998203,0.000317418544893892,0.840415216981132,0.016203999999999996,0.019886722753017554,0.0,0.0,0.0,0.0,0.0,0.0,17.39741127358492,-0.04074100000000058,-0.0023390717649677878,16.062641509433973,0.0,0.0,96.17641509433963,1.0,0.010460251046025106,5.9,5.900000000000052,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999953,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 12:00:00,0.015990122641509428,0.007408000000000001,0.8000864024192679,21.900207443396226,-0.02083199999999863,-0.0009505095346161971,0.8400400094339617,0.009258999999999906,0.010869258979259198,0.0,0.0,0.0,0.0,0.0,0.0,17.40078525471698,0.026852000000001652,0.0015445334634058626,16.938584905660377,1.9800000000000004,0.12229771463866586,95.02924528301887,-3.700000000000003,-0.03838174273858924,5.9,5.90000000000006,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000009,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 14:00:00,0.018651528301886787,0.029629000000000003,7.999190064794817,21.931855877358494,0.01620499999999936,0.0007380664380945288,0.8322684528301886,-0.07638900000000004,-0.08638758553772145,0.0,0.0,0.0,0.0,0.0,0.0,17.402475943396226,0.025926999999999367,0.0014916450445160206,17.368207547169806,0.019999999999999574,0.0011389521640090875,95.54433962264143,0.7999999999999972,0.00847457627118641,5.9,5.900000000000048,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000075,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 16:00:00,0.01953035849056604,0.024074,6.499460043196545,21.925292349056615,0.0,0.0,0.8566507547169808,0.05555600000000005,0.06648253810216749,0.0,0.0,0.0,0.0,0.0,0.0,17.41322432075472,0.01574099999999845,0.0009040297812368793,17.814433962264157,0.5899999999999999,0.03329571106094808,95.25660377358481,-1.7000000000000028,-0.017857142857142887,5.9,5.89999999999999,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000121,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 18:00:00,0.018228273584905665,-0.011111,-0.5,21.981588773584892,0.009260000000001156,0.0004215744695594395,0.707805283018868,-0.02777800000000008,-0.037383454275317175,0.0,0.0,0.0,0.0,0.0,0.0,17.403615575471694,0.031480999999999426,0.0018118561151078806,18.685660377358488,-0.4299999999999997,-0.02276336686077288,93.19622641509433,2.799999999999997,0.030467899891186038,5.9,5.899999999999945,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000156,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
2026-03-01 20:00:00,0.016488660377358483,0.0037040000000000007,0.3333633336333364,21.947195660377353,-0.07407399999999953,-0.003369126991126331,0.7035410094339624,-0.02777799999999997,-0.039473983379375376,0.0,0.0,0.0,0.0,0.0,0.0,17.395004415094338,0.0009269999999972356,5.3264523459904603e-05,17.883867924528307,-0.03999999999999915,-0.002222222222222175,97.04622641509432,1.8999999999999915,0.0199161425576519,5.9,5.899999999999912,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000155,2798.0,2798.0,1522.0,1522.0,2798.0,1522.0
